ds;y
2018-10-10;725114.8281821187
2018-10-11;582264.4313416055
2018-10-12;618096.0779201917
2018-10-13;990343.6006456856
2018-10-14;711719.6305554161
2018-10-15;566302.2130790781
2018-10-16;549589.420714187
2018-10-17;745518.7243201225
2018-10-18;558747.2867143856
2018-10-19;630158.3624674615
2018-10-20;1099700.374645147
2018-10-21;762026.4167117578
2018-10-22;568729.2729133653
2018-10-23;538893.0198521803
2018-10-24;736229.3720850076
2018-10-25;547964.9322946825
2018-10-26;579549.65175685
2018-10-27;1100397.9851219081
2018-10-28;703576.8862179029
2018-10-29;525281.165146544
2018-10-30;533948.8591211421
2018-10-31;733677.0780621035
2018-11-02;683004.2524717489
2018-11-03;961621.7675899505
2018-11-04;619684.4358897549
2018-11-05;495608.0257507799
2018-11-06;483627.3076993524
2018-11-07;708020.2358151868
2018-11-08;494747.4272293117
2018-11-09;554795.0368033586
2018-11-10;1135810.483693901
2018-11-11;702197.5031374623
2018-11-12;525465.0448822841
2018-11-13;486811.7058282898
2018-11-14;762969.4707371973
2018-11-15;515186.1396313266
2018-11-16;551408.1477467616
2018-11-17;1128572.6240110681
2018-11-18;696968.9274470442
2018-11-19;515344.3250995103
2018-11-20;516708.7109993386
2018-11-21;755486.4477365095
2018-11-22;520804.4101024968
2018-11-23;713193.3354657248
2018-11-24;1139376.2179945507
2018-11-25;801165.6953396079
2018-11-26;528754.8194639119
2018-11-27;521747.0196238718
2018-11-28;753622.5262363298
2018-11-29;533590.3182774349
2018-11-30;581575.5176834982
2018-12-01;1128915.095066529
2018-12-02;708451.018232513
2018-12-03;528555.1308444852
2018-12-04;516118.1100445484
2018-12-05;828347.4377693093
2018-12-06;568862.150639266
2018-12-07;590041.0009612599
2018-12-08;1342953.5232510397
2018-12-09;865111.0450979854
2018-12-10;624607.6469509689
2018-12-11;640637.4201681738
2018-12-12;997445.7029893302
2018-12-13;653766.8913324707
2018-12-14;717102.3621880416
2018-12-15;1481331.2332260094
2018-12-16;955556.6159238128
2018-12-17;719910.8354990957
2018-12-18;728967.6154771402
2018-12-19;1096712.341018284
2018-12-20;826115.834102704
2018-12-21;941969.9819922729
2018-12-22;1554494.1188236834
2018-12-23;1131780.1846670206
2018-12-24;659676.6984911852
2018-12-26;516524.26113882
2018-12-27;741951.1540244236
2018-12-28;810802.1472703338
2018-12-29;1118859.6787287146
2018-12-30;740546.5211804911
2018-12-31;588166.8365413322
2019-01-02;700749.3572108647
2019-01-03;536489.7603116095
2019-01-04;552461.0812443281
2019-01-05;883771.5962948805
2019-01-06;593350.2757429364
2019-01-07;488555.12807445304
2019-01-08;471446.0699991602
2019-01-09;590968.9225222417
2019-01-10;495115.3799634287
2019-01-11;536844.2812924722
2019-01-12;863413.2231709643
2019-01-13;585254.8710882961
2019-01-14;456456.53292428685
2019-01-15;477893.85269667656
2019-01-16;597562.5412054531
2019-01-17;477463.8143405021
2019-01-18;481709.2823240132
2019-01-19;808162.9043871539
2019-01-20;545643.1426186356
2019-01-21;460213.31700450036
2019-01-22;474552.93115823163
2019-01-23;575639.1562384937
2019-01-24;472924.02668747737
2019-01-25;481061.5046181391
2019-01-26;747262.5330915592
2019-01-27;538254.7989836937
2019-01-28;435217.0367868793
2019-01-29;419454.68108015164
2019-01-30;540009.8749668533
2019-01-31;429802.75502880354
2019-02-01;465468.1957397808
2019-02-02;797365.4271661247
2019-02-03;514534.97016617755
2019-02-04;397198.4012213824
2019-02-05;416165.1674030833
2019-02-06;597936.5913757598
2019-02-07;445873.96375532873
2019-02-08;475395.7591802502
2019-02-09;912701.5248947411
2019-02-10;565691.3002211651
2019-02-11;457035.13226933463
2019-02-12;437875.1227771428
2019-02-13;625412.0930133282
2019-02-14;438571.96020335704
2019-02-15;489125.3688104612
2019-02-16;827428.7734886281
2019-02-17;571415.101755135
2019-02-18;468513.47375965037
2019-02-19;459901.88392850215
2019-02-20;711543.1237892682
2019-02-21;474912.6315777592
2019-02-22;486844.70542351564
2019-02-23;911785.7885430068
2019-02-24;530244.3042685116
2019-02-25;444700.45369869104
2019-02-26;446949.58628645015
2019-02-27;708386.2752492003
2019-02-28;453140.66788669716
2019-03-01;492076.4216317811
2019-03-02;955353.361608738
2019-03-03;531470.459067401
2019-03-04;442875.7065349815
2019-03-05;424362.5567511391
2019-03-06;714773.470110094
2019-03-07;452064.0210636009
2019-03-08;478283.47983550566
2019-03-09;1080897.611136996
2019-03-10;679109.3339219149
2019-03-11;486836.230856894
2019-03-12;483860.2954710919
2019-03-13;784257.9686161543
2019-03-14;488643.40078379074
2019-03-15;531637.5636062709
2019-03-16;1156698.1065485694
2019-03-17;624660.166072507
2019-03-18;486568.4558105386
2019-03-19;479943.7508322053
2019-03-20;813253.8287645436
2019-03-21;507172.30147252855
2019-03-22;544890.0561019939
2019-03-23;1093759.925695375
2019-03-24;635690.9886011537
2019-03-25;488702.9933178339
2019-03-26;455150.1258154849
2019-03-27;785956.2543735035
2019-03-28;470647.61507854034
2019-03-29;529650.7270691153
2019-03-30;1093870.4429342032
2019-03-31;614078.244333382
2019-04-01;496463.20325528714
2019-04-02;487085.327069407
2019-04-03;871186.5749677169
2019-04-04;523898.66087451996
2019-04-05;593134.8748711415
2019-04-06;1217238.2652786493
2019-04-07;670246.2417584261
2019-04-08;520357.712507034
2019-04-09;491308.23164007696
2019-04-10;929758.2957636599
2019-04-11;549635.1369909112
2019-04-12;621981.1883912102
2019-04-13;1346966.2547042388
2019-04-14;743738.4952047892
2019-04-15;566302.8508457795
2019-04-16;519109.5644200818
2019-04-17;975877.7763270217
2019-04-18;597214.8134062723
2019-04-19;651071.9018417188
2019-04-20;1129512.1993090461
2019-04-22;568714.4689953899
2019-04-23;618021.0437014718
2019-04-24;982005.5644137317
2019-04-25;606093.6564746567
2019-04-26;653642.5751413782
2019-04-27;1218057.1770493696
2019-04-28;711524.1357352071
2019-04-29;610642.8366918277
2019-04-30;673543.0704262954
2019-05-01;1094109.8953411423
2019-05-02;587879.3583691599
2019-05-03;629990.3399310671
2019-05-04;1190845.7591417944
2019-05-05;538775.2166119465
2019-05-06;532930.5389618183
2019-05-07;503315.8518505407
2019-05-08;914106.1963912009
2019-05-09;546249.6007727715
2019-05-10;628915.1039252192
2019-05-11;1274666.7409468703
2019-05-12;704312.8593280598
2019-05-13;561389.7764098631
2019-05-14;551319.1019868769
2019-05-15;986289.6752614619
2019-05-16;604651.8398994127
2019-05-17;637811.891429426
2019-05-18;1204493.7153079766
2019-05-19;683159.181464503
2019-05-20;580232.0428009668
2019-05-21;591414.2382898516
2019-05-22;999812.281281445
2019-05-23;592812.1842465524
2019-05-24;633166.4760822832
2019-05-25;1215284.7182306745
2019-05-26;652762.631029971
2019-05-27;549150.1250777119
2019-05-28;530142.5418271284
